accident_id,city,state,latitude,longitude,date,time,day_of_week,is_weekend,road_type,lanes,traffic_signal,Weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
1,Pune,Maharashtra,18.680827,73.930388,22/10/2023,05:00:00,Sunday,Yes,Highway,3,Yes,Fog,Low,32,High,Weather,Fatal,2,2,No,Normal Day,0.85
2,Mumbai,Maharashtra,18.817732,72.790846,21/05/2023,04:00:00,Sunday,Yes,Urban,4,No,Clear,High,34,Low,Weather,Major,4,3,No,Normal Day,0.10
3,Mumbai,Maharashtra,19.096889,72.819424,10/07/2024,13:00:00,Wednesday,No,Urban,3,No,Fog,Low,21,Medium,Weather,Minor,1,1,No,Normal Day,0.45
4,Chandigarh,Punjab,30.787805,76.847507,30/03/2025,11:00:00,Sunday,Yes,Urban,1,Yes,Fog,Low,30,High,Distraction,Minor,5,2,No,Normal Day,0.65
5,Chennai,Tamil Nadu,12.965155,80.283313,25/01/2024,16:00:00,Thursday,No,Highway,3,Yes,Clear,High,24,Low,Distraction,Minor,2,1,No,Normal Day,0.10
6,Delhi,Delhi,28.79949,77.049666,29/07/2024,08:00:00,Monday,No,Urban,5,Yes,Clear,High,36,High,Overspeeding,Fatal,4,4,Yes,Normal Day,0.65
7,Bangalore,Karnataka,13.064327,77.530941,24/03/2025,06:00:00,Monday,No,Highway,3,No,Clear,High,33,High,Drunk Driving,Minor,4,4,No,Normal Day,0.30
8,Chandigarh,Punjab,30.786617,76.733947,07/05/2023,14:00:00,Sunday,Yes,Urban,3,Yes,Clear,High,25,Low,Weather,Major,3,0,No,Normal Day,0.10
9,Hyderabad,Telangana,17.422447,78.464881,25/02/2022,03:00:00,Friday,No,Urban,1,No,Rain,Low,22,Low,Poor Road,Minor,1,0,No,Normal Day,0.45
10,Bangalore,Karnataka,12.939033,77.498966,31/03/2024,04:00:00,Sunday,Yes,Rural,3,Yes,Clear,High,23,Low,Weather,Minor,1,0,No,Normal Day,0.10
11,Chandigarh,Punjab,30.651926,76.876892,23/03/2022,13:00:00,Wednesday,No,Highway,1,Yes,Fog,Low,34,Medium,Poor Road,Minor,3,3,No,Normal Day,0.45
12,Bangalore,Karnataka,12.936802,77.469957,27/01/2022,02:00:00,Thursday,No,Urban,5,Yes,Rain,Mediun,33,Low,Drunk Driving,Minor,2,0,No,Normal Day,0.25
13,Mumbai,Maharashtra,19.132036,72.76057,28/11/2023,09:00:00,Tuesday,No,Highway,5,Yes,Rain,Low,17,Medium,Weather,Major,4,1,Yes,Normal Day,0.60
14,Pune,Maharashtra,18.532452,73.841799,25/03/2024,08:00:00,Monday,No,Highway,6,No,Rain,Low,40,Medium,Overspeeding,Major,5,2,Yes,Holi,0.70
15,Chandigarh,Punjab,30.721892,76.711388,09/02/2025,18:00:00,Sunday,Yes,Urban,5,Yes,Rain,Mediun,23,High,Overspeeding,Major,4,0,Yes,Normal Day,0.60
16,Chandigarh,Punjab,30.772308,76.768413,18/03/2024,08:00:00,Monday,No,Rural,1,No,Clear,High,23,High,Drunk Driving,Minor,4,4,Yes,Normal Day,0.45
